CLIENT_NUM,EN_CLIENT_NM_AN,FR_CLIENT_NM
2,Canadian Pharmacists Association,Association des Pharmaciens du Canada
3,Motor Carrier Passenger Council of Canada,Conseil Canadien du transport de passagers
4,CANADIAN ASSOCIATION OF PETROLEUM PRODUCERS (CAPP),null
10,COALITION QUEBECOISE POUR LE CONTROLE DU TABAC,null
14,ONTARIO DAIRY COUNCIL,null
15,Chamber of Marine Commerce,Chambre de commerce maritime
22,Valero Energy Inc.,Énergie Valero Inc.
29,CANADIAN AQUACULTURE INDUSTRY ALLIANCE,null
37,null,Association québécoise de la production médiatique (AQPM)
46,VANCOUVER BOARD OF TRADE (THE),null
48,SOUTHWEST CENTRE FOR COMMUNITY PROGRAM DEVELOPMENT INC.,null
52,Toronto Real Estate Board,null
61,GREENPEACE CANADA,null
62,Tea Association of Canada,Association du the du Canada
63,ESSEX COMMUNITY FUTURES DEVELOPMENT CORPORATION (ECFDC),null
64,Hoffmann-La Roche Limited,null
67,Canadian Federation of Agriculture,null
74,ONTARIO FEDERATION OF ANGLERS AND HUNTERS,null
75,CANADIAN NURSES ASSOCIATION/ASSOCIATION DES INFIRMIERES ET INFIRMIERS DU CANADA(CNA),null
77,CANADIAN MEDICAL ASSOCIATION,null
82,CANADIAN FOODGRAINS BANK,null
84,Ontario Dental Association,null
95,The Nature Conservancy of Canada,La Société canadienne pour la conservation de la nature
96,Canadian Apparel Federation,Federation canadienne du vetement
98,CANADIAN ASSOCIATION OF INSOLVENCY AND RESTRUCTURING PROFESSIONALS (CAIRP),Association canadienne des professionels de l'insolvabilité et de la réorganisation (ACPIR)
111,CANADA-ISRAEL COMMITTEE,null
115,Canadian Association of Broadcasters,Association canadienne des radiodiffuseurs
117,CANADIAN SEED GROWERS' ASSOCIATION,null
119,Heart and Stroke Foundation of Canada,Fondation des maladies du coeur du Canada
127,Ontario Independent Meat Processors,null
128,NORTHERN ONTARIO TOURIST OUTFITTERS ASSOCIATION,null
136,Forest Products Association of Canada,Association des produits forestiers du Canada
145,Mennonite Central Committee Canada,null
166,Intellectual Property Institute of Canada,INSTITUT DE LA PROPRIÉTÉ INTELLECTUELLE DU CANADA
171,Canadian Worker Co-operative Federation,La Fédération canadienne des coopératives de travail
191,Canadian Gas Association,Association canadienne du gaz
196,Citizens for Public Justice,Citoyens pour une politique juste
199,EVANGELICAL FELLOWSHIP OF CANADA,null
200,CULTURAL HUMAN RESOURCES COUNCIL,null
211,Canadian Poultry and Egg Processors Council,Conseil canadien des transformateurs d'oeufs et de volailles
217,CANADIAN INDUSTRIAL TRANSPORTATION ASSOCIATION (CITA)/ ASSN CANADIENNE DE TRANSPORT INDUSTRIEL (ACTI),null
220,Recreation Vehicle Dealers Association of Canada,Association des Commerçants de Véhicules Récréatifs
231,FOOD AND CONSUMER PRODUCTS OF CANADA,Produits alimentaires et de consommation du Canada
235,Research Canada:  An Alliance for Health Discovery / Recherche Canada : Une alliance pour les découvertes en santé,null
236,Canadian Police Association,Association canadienne des policiers
239,FISHERIES COUNCIL OF CANADA,null
241,Certified General Accountants Association of Canada,Association des comptables généraux accrédités du Canada
242,National Cancer Institute of Canada,null
