COMLOG_ID,SUBJ_MATTER_OBJET,OTHER_SUBJ_MATTER_AUTRE_OBJET,,,,,,,
74154,Industry,Industry,,,,,,,
74796,Environment,Environment,,,,,,,
75174,Arts and Culture,Arts and Culture,,,,,,,
75275,Industry,Industry,,,,,,,
75334,Energy,Energy,,,,,,,
75854,Environment,Environment,,,,,,,
75894,Environment,Environment,,,,,,,
75996,Science and Technology,Science and Technology,,,,,,,
75997,Science and Technology,Science and Technology,,,,,,,
76048,Agriculture,Agriculture,,,,,,,
76049,International Relations,International Relations,,,,,,,
76065,International Trade,International Trade,,,,,,,
76142,Agriculture,Agriculture,,,,,,,
76143,International Relations,International Relations,,,,,,,
76144,International Trade,International Trade,,,,,,,
76214,Other,Exit program for tobacco farmers,,,,,,,
76294,Other,Fundraising rules for charities,,,,,,,
76295,Environment,Environment,,,,,,,
76338,Agriculture,Agriculture,,,,,,,
76375,Consumer Issues,Consumer Issues,,,,,,,
76397,Environment,Environment,,,,,,,
76398,Environment,Environment,,,,,,,
76407,Industry,Industry,,,,,,,
76409,International Trade,International Trade,,,,,,,
76412,Other,International Trade,,,,,,,
76413,Other,Meat Inspection Fees,,,,,,,
76415,Financial Institutions,Financial Institutions,,,,,,,
76416,Other,TD Summer Reading Program,,,,,,,
76417,Health,Health,,,,,,,
76499,Science and Technology,Science and Technology,,,,,,,
76514,Environment,Environment,,,,,,,
76614,Taxation and Finance,Taxation and Finance,,,,,,,
76635,Agriculture,Agriculture,,,,,,,
76636,Transportation,Transportation,,,,,,,
76654,Energy,Energy,,,,,,,
76674,Environment,Environment,,,,,,,
76694,Industry,Industry,,,,,,,
76695,Agriculture,Agriculture,,,,,,,
76696,Other,CWB Corporate Plan/CWB variety investment,,,,,,,
76697,Energy,Energy,,,,,,,
76698,Environment,Environment,,,,,,,
76699,Industry,Industry,,,,,,,
76701,Energy,Energy,,,,,,,
76706,Environment,Environment,,,,,,,
76707,Industry,Industry,,,,,,,
76734,Energy,Energy,,,,,,,
76735,Environment,Environment,,,,,,,
76754,Industry,Industry,,,,,,,
76755,Energy,Energy,,,,,,,
76756,Environment,Environment,,,,,,,
76758,Industry,Industry,,,,,,,
76760,Energy,Energy,,,,,,,
76763,Environment,Environment,,,,,,,
76775,Industry,Industry,,,,,,,
76776,Energy,Energy,,,,,,,
76777,Industry,Industry,,,,,,,
76778,Energy,Energy,,,,,,,
76799,Environment,Environment,,,,,,,
76814,Other,Oil Sands,,,,,,,
76834,Other,Non-ICL Chicken Quota,,,,,,,
76874,Transportation,Transportation,,,,,,,
76875,Taxation and Finance,Taxation and Finance,,,,,,,
74334,Transportation,Transportation,,,,,,,
74794,Energy,Energy,,,,,,,
74795,Infrastructure,Infrastructure,,,,,,,
74934,Energy,Energy,,,,,,,
74955,Infrastructure,Infrastructure,,,,,,,
75534,Taxation and Finance,Taxation and Finance,,,,,,,
75616,Taxation and Finance,Taxation and Finance,,,,,,,
75617,Taxation and Finance,Taxation and Finance,,,,,,,
75654,Energy,Energy,,,,,,,
75754,Environment,Environment,,,,,,,
75774,Fisheries,Fisheries,,,,,,,
75984,Energy,Energy,,,,,,,
75985,Financial Institutions,Financial Institutions,,,,,,,
76022,Taxation and Finance,Taxation and Finance,,,,,,,
76034,Financial Institutions,Financial Institutions,,,,,,,
76037,Taxation and Finance,Taxation and Finance,,,,,,,
76038,Other,CANADA/U.S. BORDERS,,,,,,,
76039,Taxation and Finance,Taxation and Finance,,,,,,,
76041,Taxation and Finance,Taxation and Finance,,,,,,,
76043,Mining,Mining,,,,,,,
76059,Mining,Mining,,,,,,,
76134,Taxation and Finance,Taxation and Finance,,,,,,,
76160,Energy,Energy,,,,,,,
76161,Other,Infrastructure,,,,,,,
76274,Other,Natural Resources,,,,,,,
76337,Agriculture,Agriculture,,,,,,,
76374,Agriculture,Agriculture,,,,,,,
76377,Agriculture,Agriculture,,,,,,,
76411,Infrastructure,Infrastructure,,,,,,,
76414,Transportation,Transportation,,,,,,,
76595,Taxation and Finance,Taxation and Finance,,,,,,,
76757,Health,Health,,,,,,,
76798,Industry,Industry,,,,,,,
76800,Infrastructure,Infrastructure,,,,,,,
76815,Energy,Energy,,,,,,,
76877,Infrastructure,Infrastructure,,,,,,,
76894,Other,Internet Security,,,,,,,
76895,Environment,Environment,,,,,,,
76896,Environment,Environment,,,,,,,
76897,Health,Health,,,,,,,
76898,Energy,Energy,,,,,,,
76900,Other,Housing,,,,,,,
76902,Other,Social Finance,,,,,,,
76903,Infrastructure,Infrastructure,,,,,,,
76905,Regional Development,Regional Development,,,,,,,
76908,Transportation,Transportation,,,,,,,
76909,Transportation,Transportation,,,,,,,
76910,Infrastructure,Infrastructure,,,,,,,
76911,Regional Development,Regional Development,,,,,,,
76912,Transportation,Transportation,,,,,,,
76914,Health,Health,,,,,,,
76915,Energy,Energy,,,,,,,
76916,Environment,Environment,,,,,,,
76935,Industry,Industry,,,,,,,
76937,Agriculture,Agriculture,,,,,,,
76944,International Relations,International Relations,,,,,,,
76955,International Trade,International Trade,,,,,,,
76957,International Trade,International Trade,,,,,,,
76958,Other,COASTING TRADE DUTY,,,,,,,
76959,Energy,Energy,,,,,,,
76961,Environment,Environment,,,,,,,
76974,Other,ecoEnergy for buildings and houses,,,,,,,
76975,Financial Institutions,Financial Institutions,,,,,,,
76976,Other,Liberal Green Shift,,,,,,,
76977,Other,Liberal Green shift,,,,,,,
76978,Other,Liberal Green Shift,,,,,,,
76979,Other,Federal Framework on Air Emissions,,,,,,,
76980,International Trade,International Trade,,,,,,,
76981,International Trade,International Trade,,,,,,,
74054,Industry,Industry,,,,,,,
74194,Environment,Environment,,,,,,,
74235,Environment,Environment,,,,,,,
74274,International Trade,International Trade,,,,,,,
74374,Environment,Environment,,,,,,,
74634,Health,Health,,,,,,,
74635,Intellectual Property,Intellectual Property,,,,,,,
74636,Environment,Environment,,,,,,,
74637,Energy,Energy,,,,,,,
74638,Environment,Environment,,,,,,,
74654,Industry,Industry,,,,,,,
74754,Energy,Energy,,,,,,,
74974,Environment,Environment,,,,,,,
75095,Industry,Industry,,,,,,,
75134,Defence,Defence,,,,,,,
75154,Government Procurement,Government Procurement,,,,,,,
75394,Mining,Mining,,,,,,,
75414,Other,Housing,,,,,,,
75474,Transportation,Transportation,,,,,,,
75494,Taxation and Finance,Impôts et finances,,,,,,,
75495,Energy,Energy,,,,,,,
75496,Infrastructure,Infrastructure,,,,,,,
75497,Government Procurement,Government Procurement,,,,,,,
75498,Other,aviation weather services contract,,,,,,,
75499,Broadcasting,Broadcasting,,,,,,,
75500,International Relations,International Relations,,,,,,,
75634,Other,Visit to Jordan by Gerry Schwartz; proposed meeting with Kng Abdullah,,,,,,,
75734,International Trade,International Trade,,,,,,,
75794,Other,Tax policy,,,,,,,
75795,Agriculture,Agriculture,,,,,,,
75797,Other,Canada Labour Code Part III,,,,,,,
75798,Transportation,Transportation,,,,,,,
76021,Transportation,Transportation,,,,,,,
76054,Transportation,Transportation,,,,,,,
76154,Other,Air navigation services in support of 2010 Olympics,,,,,,,
76194,Health,Health,,,,,,,
76255,Intellectual Property,Intellectual Property,,,,,,,
76256,Transportation,Transportation,,,,,,,
76334,Other,CFIB Tax survey,,,,,,,
76399,Other,CFIB tax survey,,,,,,,
76401,International Relations,International Relations,,,,,,,
76402,Industry,Industry,,,,,,,
76403,Other,Automotive Innovation Fund,,,,,,,
76405,Industry,Industry,,,,,,,
76455,Other,Auto Innovation Fund,,,,,,,
76534,Other,Planning for Farnborough Air Show,,,,,,,
76554,Energy,Energy,,,,,,,
76704,Other,Natural Resources,,,,,,,
76705,Infrastructure,Infrastructure,,,,,,,
76708,Defence,Defence,,,,,,,
76710,Government Procurement,Government Procurement,,,,,,,
76714,International Relations,International Relations,,,,,,,
76759,International Relations,International Relations,,,,,,,
76835,International Relations,International Relations,,,,,,,
76876,International Relations,International Relations,,,,,,,
76901,International Relations,International Relations,,,,,,,
76904,Energy,Energy,,,,,,,
76913,Environment,Environment,,,,,,,
76938,Industry,Industry,,,,,,,
76941,Infrastructure,Infrastructure,,,,,,,
76942,Energy,Energy,,,,,,,
76943,Environment,Environment,,,,,,,
76960,Industry,Industry,,,,,,,
73734,Energy,Energy,,,,,,,
74114,Environment,Environment,,,,,,,
74674,Industry,Industry,,,,,,,
74694,Energy,Energy,,,,,,,
74695,Environment,Environment,,,,,,,
74874,Industry,Industry,,,,,,,
74894,Energy,Energy,,,,,,,
75034,Environment,Environment,,,,,,,
75094,Industry,Industry,,,,,,,
75096,Infrastructure,Infrastructure,,,,,,,
75097,Energy,Energy,,,,,,,
75098,Environment,Environment,,,,,,,
75099,Industry,Industry,,,,,,,
75114,Agriculture,Agriculture,,,,,,,
75214,Agriculture,Agriculture,,,,,,,
75274,Internal Trade,Internal Trade,,,,,,,
75796,Health,Health,,,,,,,
75799,Other,Lung Health Framework,,,,,,,
75800,Broadcasting,Broadcasting,,,,,,,
75814,Broadcasting,Radiodiffusion,,,,,,,
75815,Intellectual Property,Propriété intellectuelle,,,,,,,
75816,Infrastructure,Infrastructure,,,,,,,
75934,Other,Participate in Hydrogen and Fuel Cells Canada meetings on renewable and alternative energy supply,,,,,,,
75976,Other,Energy Transportation / pipelines,,,,,,,
75994,Other,Regulatory streamlining,,,,,,,
75995,Other,Energy,,,,,,,
76019,Other,Renewable and Alternative Energy supply,,,,,,,
76035,Other,participate in Hydrogen and Fuel Cells Canada meetings on renewable and alternative energy supply,,,,,,,
76036,Other,Participate in Hydrogen and Fuel Cells Canada meetings on renewable and alternative energy supply,,,,,,,
76050,Other,Participate in Hydrogren and Fuel Cells Canada meetings on renewable and alternative energy supply,,,,,,,
76053,Industry,Industry,,,,,,,
76056,Energy,Energy,,,,,,,
76058,Transportation,Transportation,,,,,,,
76060,Environment,Environment,,,,,,,
76063,Other,Go Solar,,,,,,,
76066,Energy,Energy,,,,,,,
76067,Environment,Environment,,,,,,,
76068,Financial Institutions,Financial Institutions,,,,,,,
76069,Other,ecoEnergy for buildings and houses,,,,,,,
76070,Intellectual Property,Intellectual Property,,,,,,,
76096,Telecommunications,Telecommunications,,,,,,,
76097,Intellectual Property,Intellectual Property,,,,,,,
76098,Telecommunications,Telecommunications,,,,,,,
76137,Constitutional Issues,Constitutional Issues,,,,,,,
76139,Other,Customs & Border policies,,,,,,,
76140,International Relations,International Relations,,,,,,,
76174,Other,Customs & Border policies,,,,,,,
76215,Consumer Issues,Consumer Issues,,,,,,,
76216,Environment,Environment,,,,,,,
76275,Transportation,Transportation,,,,,,,
76276,Other,Duty Free Regulations,,,,,,,
76277,Other,International Air Policy,,,,,,,
76314,Other,Policies Related To Aviation Transportation,,,,,,,
76336,Transportation,Transportation,,,,,,,
76376,Other,Customs & Border policies,,,,,,,
76379,Other,International Air Policy,,,,,,,
76380,Defence,Defence,,,,,,,
76383,Government Procurement,Government Procurement,,,,,,,
76395,Intellectual Property,Intellectual Property,,,,,,,
74314,Financial Institutions,Financial Institutions,,,,,,,
74394,Financial Institutions,Financial Institutions,,,,,,,
74574,Transportation,Transportation,,,,,,,
74614,Environment,Environment,,,,,,,
74714,Other,Car Heaven,,,,,,,
74734,Other,Liberal Green Shift,,,,,,,
74815,Environment,Environment,,,,,,,
74854,Taxation and Finance,Taxation and Finance,,,,,,,
74954,Energy,Energy,,,,,,,
74994,Other,Food Safety,,,,,,,
74995,Other,Meat Inspection,,,,,,,
74996,Agriculture,Agriculture,,,,,,,
74997,Agriculture,Agriculture,,,,,,,
75194,Other,Meat Inspection,,,,,,,
75674,Other,Status, expectations, Canadian position and industry views regarding the WTO ministerial level negotiations regarding supply management,,,,,
75694,Other,Energy Sector Sustainability Table,,,,,,,
75695,Agriculture,Agriculture,,,,,,,
75714,Other,Passage of Bill C-33,,,,,,,
75835,Other,Electricity and Gas Inspection Act,,,,,,,
75874,Agriculture,Agriculture,,,,,,,
75914,International Trade,International Trade,,,,,,,
75915,Science and Technology,Science and Technology,,,,,,,
75919,Energy,Energy,,,,,,,
75935,Infrastructure,Infrastructure,,,,,,,
75954,Other,Natural Resources,,,,,,,
75974,Other,Citizenship and Immigration,,,,,,,
75980,Industry,Industry,,,,,,,
75981,Broadcasting,Broadcasting,,,,,,,
75983,Arts and Culture,Arts and Culture,,,,,,,
76014,Financial Institutions,Financial Institutions,,,,,,,
76015,Taxation and Finance,Taxation and Finance,,,,,,,
76017,Taxation and Finance,Taxation and Finance,,,,,,,
76018,Taxation and Finance,Taxation and Finance,,,,,,,
76042,Health,Health,,,,,,,
76045,International Relations,International Relations,,,,,,,
76046,Other,PMs proposed trip to Israel; Bill C51; government response to Israel-Lebanon prisoner exchange,,,,,,,
76047,Employment and Training,Employment and Training,,,,,,,
76071,Immigration,Immigration,,,,,,,
76072,Other,Canada Labour Code Part III,,,,,,,
76074,Taxation and Finance,Taxation and Finance,,,,,,,
76094,Other,Tax Rebate Discount Act,,,,,,,
76135,Intellectual Property,Intellectual Property,,,,,,,
76138,Environment,Environment,,,,,,,
76141,Environment,Environment,,,,,,,
76234,Defence,Defence,,,,,,,
76238,Government Procurement,Government Procurement,,,,,,,
76239,International Relations,International Relations,,,,,,,
76258,Health,Health,,,,,,,
76381,Other,Communications Approach on Chemical Management Plan (CEPA),,,,,,,
76382,Health,Health,,,,,,,
76384,Health,Health,,,,,,,
76385,Health,Health,,,,,,,
76386,Health,Health,,,,,,,
76394,International Trade,International Trade,,,,,,,
76404,Energy,Energy,,,,,,,
76454,Environment,Environment,,,,,,,
76456,Taxation and Finance,Taxation and Finance,,,,,,,
76494,Energy,Energy,,,,,,,
76495,Infrastructure,Infrastructure,,,,,,,
76496,Other,Natural Resources,,,,,,,
76497,Environment,Environment,,,,,,,
76498,Other,Vehicle Scrappage,,,,,,,
77039,Environment,Environment,,,,,,,
77079,Other,Go Solar,,,,,,,
77283,Environment,Environment,,,,,,,
77294,Environment,Environment,,,,,,,
77359,Transportation,Transportation,,,,,,,
77435,Environment,Environment,,,,,,,
77439,Other,Go Solar,,,,,,,
77441,Aboriginal Affairs,Aboriginal Affairs,,,,,,,
77442,Energy,Energy,,,,,,,
77478,International Trade,International Trade,,,,,,,
77493,Other,Air Force Projects,,,,,,,
77495,Environment,Environment,,,,,,,
77519,Other,Go Solar,,,,,,,
77521,Other,Car Heaven,,,,,,,
77522,Other,Car Heaven,,,,,,,
77523,International Trade,International Trade,,,,,,,
77524,Mining,Mining,,,,,,,
77525,Mining,Mining,,,,,,,
77532,Aboriginal Affairs,Aboriginal Affairs,,,,,,,
77534,Employment and Training,Employment and Training,,,,,,,
77638,Industry,Industry,,,,,,,
77815,International Trade,International Trade,,,,,,,
77791,Mining,Mining,,,,,,,
77792,Employment and Training,Employment and Training,,,,,,,
77795,Health,Health,,,,,,,
78314,Other,Lung Health Framework,,,,,,,
78316,Other,Federal Framework on Air Emissions,,,,,,,
78614,Agriculture,Agriculture,,,,,,,
78655,International Relations,International Relations,,,,,,,
78814,International Trade,International Trade,,,,,,,
78817,Agriculture,Agriculture,,,,,,,
78818,International Relations,International Relations,,,,,,,
